id_zawodnika; imie; nazwisko; id_druzyny; sezon_rozgrywek; wiek; wzrost; waga; kraj;wystepy; minuty; pozycja; rating; strzaly; strzaly_celne; gole;podania; dokladnosc_podan; podania_kluczowe; asysty; pojedynki; pojedynki_wygrane;proby_przechwytu; przechwyty_udane, dryblingi; dryblingi_wygrane; faule_na_zawodniku;faule_popelnione; kartki_zolte; kartki_czerwone; czy_kontuzjowany
19802; Jacob Samuel; Brown; 1359; 2023; 26.0; 178.0; 62.0; Scotland; 19.0; 1019.0; Attacker; 6.768421; 16.0; 7.0; 2.0; 229.0; 8.0; 8.0; 0.0; 212.0; 87.0; 19.0; 8.0; 22.0; 6.0; 19.0; 19.0; 4.0; 0.0; false
17641; Elijah Anuoluwapo Oluwaferanmi; Ayomikulehin Adebayo; 1359; 2023; 26.0; 193.0; 89.0; England; 23.0; 1160.0; Attacker; 6.765217; 22.0; 12.0; 9.0; 171.0; 6.0; 14.0; 0.0; 192.0; 64.0; 1.0; 5.0; 50.0; 14.0; 11.0; 22.0; 1.0; 0.0; false
19808; Cauley; Woodrow; 1359; 2023; 30.0; 184.0; 78.0; England; 20.0; 347.0; Attacker; 6.663157; 7.0; 3.0; 1.0; 109.0; 4.0; 8.0; 1.0; 65.0; 27.0; 13.0; 0.0; 3.0; 2.0; 2.0; 8.0; 2.0; 0.0; false
19083; Carlton John; Morris; 1359; 2023; 29.0; 185.0; 85.0; England; 33.0; 2416.0; Attacker; 7.012121; 49.0; 25.0; 9.0; 609.0; 12.0; 21.0; 4.0; 431.0; 184.0; 9.0; 1.0; 40.0; 25.0; 37.0; 41.0; 2.0; 0.0; false
19365; Chiedozie Somkelechukwu; Ogbene; 1359; 2023; 27.0; 181.0; 78.0; Republic of Ireland; 28.0; 1899.0; Attacker; 7.039285; 17.0; 13.0; 4.0; 596.0; 18.0; 26.0; 1.0; 249.0; 149.0; 17.0; 5.0; 100.0; 59.0; 47.0; 8.0; 1.0; 0.0; false
379627; Zack; Nelson; 1359; 2023; 19.0; 0.0; 0.0; England; 2.0; 5.0; Midfielder; 6.2; 0.0; 0.0; 0.0; 4.0; 2.0; 0.0; 0.0; 1.0; 1.0; 1.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; false
19829; Alfie Henry; Harman Doughty; 1359; 2023; 25.0; 183.0; 0.0; England; 32.0; 2493.0; Midfielder; 7.009375; 10.0; 5.0; 1.0; 925.0; 21.0; 60.0; 7.0; 216.0; 110.0; 51.0; 27.0; 49.0; 29.0; 8.0; 23.0; 3.0; 0.0; false
1427; Albert-Mboyo; Sambi Lokonga; 1359; 2023; 25.0; 173.0; 67.0; Belgium; 12.0; 879.0; Midfielder; 7.141666; 3.0; 1.0; 0.0; 483.0; 36.0; 7.0; 2.0; 94.0; 58.0; 19.0; 6.0; 14.0; 8.0; 20.0; 12.0; 2.0; 0.0; false
18854; Andros Darryl; Townsend; 1359; 2023; 33.0; 181.0; 77.0; England; 24.0; 1166.0; Midfielder; 6.725; 11.0; 7.0; 1.0; 339.0; 11.0; 18.0; 3.0; 119.0; 46.0; 20.0; 5.0; 29.0; 15.0; 11.0; 13.0; 1.0; 0.0; false
20189; Jordan Charles; Clark; 1359; 2023; 31.0; 183.0; 71.0; England; 19.0; 1037.0; Midfielder; 6.583333; 7.0; 3.0; 1.0; 390.0; 17.0; 8.0; 1.0; 145.0; 68.0; 25.0; 8.0; 28.0; 8.0; 22.0; 9.0; 3.0; 0.0; false
19767; Pelly Ruddock; Mpanzu; 1359; 2023; 30.0; 175.0; 63.0; Congo DR; 25.0; 1064.0; Midfielder; 6.452; 7.0; 1.0; 0.0; 329.0; 9.0; 6.0; 0.0; 99.0; 46.0; 12.0; 9.0; 15.0; 9.0; 13.0; 9.0; 1.0; 0.0; false
906; Tahith Jose Girigorio; Djorkaef Chong; 1359; 2023; 25.0; 185.0; 75.0; Netherlands; 28.0; 1557.0; Midfielder; 6.732142; 13.0; 7.0; 4.0; 383.0; 11.0; 10.0; 0.0; 205.0; 105.0; 27.0; 6.0; 42.0; 17.0; 52.0; 16.0; 3.0; 0.0; false
76; Marvelous; Nakamba; 1359; 2023; 30.0; 178.0; 71.0; Zimbabwe; 13.0; 1133.0; Midfielder; 6.76923; 4.0; 0.0; 0.0; 415.0; 27.0; 7.0; 0.0; 113.0; 56.0; 40.0; 11.0; 8.0; 3.0; 9.0; 24.0; 5.0; 0.0; false
33095; Daiki; Hashioka; 1359; 2023; 25.0; 182.0; 73.0; Japan; 7.0; 419.0; Defender; 6.457142; 1.0; 0.0; 0.0; 179.0; 20.0; 1.0; 0.0; 39.0; 19.0; 6.0; 6.0; 1.0; 0.0; 3.0; 4.0; 0.0; 0.0; false
2287; Ross; Barkley; 1359; 2023; 31.0; 189.0; 76.0; England; 28.0; 2325.0; Midfielder; 7.228571; 44.0; 17.0; 5.0; 1229.0; 36.0; 44.0; 4.0; 338.0; 178.0; 42.0; 24.0; 88.0; 58.0; 38.0; 21.0; 5.0; 0.0; false
19759; Luke David; Berry; 1359; 2023; 32.0; 177.0; 72.0; England; 13.0; 236.0; Midfielder; 6.530769; 3.0; 1.0; 1.0; 64.0; 4.0; 2.0; 1.0; 29.0; 18.0; 5.0; 0.0; 0.0; 0.0; 6.0; 3.0; 1.0; 0.0; false
19408; Reece Frederick; James Burke; 1359; 2023; 28.0; 188.0; 81.0; England; 18.0; 1353.0; Defender; 6.922222; 7.0; 4.0; 0.0; 535.0; 23.0; 9.0; 3.0; 141.0; 79.0; 27.0; 16.0; 4.0; 2.0; 9.0; 17.0; 4.0; 0.0; false
